X.Intercept. RepR2 RepR3 RepR4 Leaf IWB74799
21.75083 -10.49422 -16.56351 -8.82055 0.344575 -29.33613
23.4402 -9.149021 -19.88352 -4.540929 -1.404158 -27.44397
22.13155 -6.208184 -14.26617 -4.987271 -2.121855 -27.81982
21.6278 -9.571544 -15.71006 -4.905656 -1.734291 -27.96372
20.90209 -9.55857 -16.96177 -5.805984 -1.290251 -27.164
18.73404 -7.222419 -17.00953 -6.644839 -0.3986888 -27.68724
16.59313 -7.654991 -14.18838 -3.920507 -0.8049215 -25.64905
15.11681 -6.845055 -13.31831 -4.366019 -0.5364292 -25.33941
16.00194 -4.169726 -15.67506 -8.885942 0.1818758 -26.86587
17.24071 -8.54035 -14.40954 -4.261699 -0.717309 -28.35873
17.02256 -7.958155 -13.00862 -3.463926 -1.482822 -27.31893
16.51648 -6.186425 -11.61833 -6.534837 -0.6375472 -27.4497
18.31152 -9.343093 -14.07848 -8.32207 -1.12855 -27.15137
16.95926 -8.972795 -19.38568 -7.706597 -0.5781526 -26.40158
18.2782 -11.74311 -21.77501 -10.5916 -0.06265645 -26.68405
18.37877 -11.31962 -21.13508 -9.069892 -0.4067377 -24.65578
17.67174 -9.283519 -20.30426 -11.16461 -0.8178658 -23.90921
16.47943 -8.956159 -18.80997 -7.164226 -1.082156 -24.04344
18.05721 -7.832511 -17.04775 -6.640287 -1.887499 -22.96418
17.73573 -10.86994 -17.25294 -5.928223 -1.340225 -24.34332
18.93386 -9.130913 -17.46467 -6.898296 -0.2527032 -25.6759
19.32545 -9.047095 -17.06612 -6.308448 -1.231442 -24.01331
19.4825 -8.73657 -13.92383 -5.761923 -1.610922 -25.14963
15.88047 -7.414037 -12.66505 -4.122962 -0.9863299 -23.76345
16.59377 -8.336715 -13.15978 -4.126355 -1.822811 -22.4384
15.30123 -7.565315 -13.94923 -4.621227 -1.237317 -23.39113
15.33904 -6.4304 -13.89023 -6.230567 -0.9113313 -24.08851
14.75054 -10.16061 -13.70714 -6.632081 -0.3874368 -24.15603
17.16685 -9.99943 -19.59423 -8.131829 -0.2296392 -24.54525
17.1867 -9.822575 -17.79312 -9.273582 -0.2445997 -24.20297
15.97914 -10.33046 -16.23944 -6.986853 -0.5765907 -22.27189
16.34774 -8.754587 -17.41582 -9.472726 -0.3459725 -20.94708
18.01781 -8.909446 -17.27755 -9.85008 -0.8162007 -21.95541
